TABLE_NAME                     COUNT(COLUMN_NAME)                               
TG_FAILURE_CAUSE_DEFINITION                    14                               
TG_FAILURE_ROOT_CAUSE                          13                               
TG_FAILURE_ROOT_CAUSE_DEFINIT                  14                               
TG_FAILURE_STRUCTURE                           13                               
TG_FAILURE_STRUCTURE_ASSEMBLI                   3                               
TG_FAILURE_TYPE                                13                               
TG_FAILURE_TYPE_DEFINITION                     14                               
TG_FAULT_CODE                                  14                               
TG_FAULT_CODE_DEFINITION                       13                               
TG_FAULT_CODE_DEFINITION_LABE                   3                               
TG_FAULT_CODE_DEF_COMPS                         4                               
TG_FILE_UPLOAD_MGT                             16                               
TG_FOC_ORDER_DETAILS                           15                               
TG_FORM_ANSWER_OPTIONS                          3                               
TG_FULL_CHARGE_BATTERY_TEST                    16                               
TG_HUSS_PARTS_REPLACED_INSTAL                   6                               
TG_HUSS_PARTS_TO_REPLACE                        4                               
TG_HYDROMETER_TEST                             23                               
TG_I18NACTION_DEFINITION                        6                               
TG_I18NADDITIONAL_ATTRIBUTE_N                   6                               
TG_I18NASSEMBLY_DEFINITION                      6                               
TG_I18NCAMPAIGN_TEXT                            6                               
TG_I18NCOMPETITION_TYPE_TEXT                    6                               
TG_I18NCOMPETITOR_MAKE_TEXT                     6                               
TG_I18NCOMPETITOR_MODEL_TEXT                    6                               
TG_I18NDOMAIN_RULE_TEXT                         5                               
TG_I18NFAILURE_CAUSE_DEFINITI                   6                               
TG_I18NFAILURE_TYPE_DEFINITIO                   6                               
TG_I18NFLR_ROOT_CAUSE_DEFINIT                   6                               
TG_I18NITEM_GROUP_TEXT                          6                               
TG_I18NLOV_TEXT                                 6                               
TG_I18NMARKET_TYPE_TEXT                         6                               
TG_I18NMODIFIER_NAME                            6                               
TG_I18NNON_OEM_PARTS_DESCRIPT                   6                               
TG_I18NPOLICY_TERMS_CONDITION                   6                               
TG_I18NSECTION_TEXT                             6                               
TG_I18NTRANSACTION_TYPE_TEXT                    6                               
TG_I18NUPLOAD_ERROR_TEXT                        6                               
TG_I18N_TEXT                                   15                               
TG_I18N_UOM_MAPPING_VALUES                      6                               
TG_INBOX_VIEW                                  11                               
TG_INCLUSIVE_JOB_CODES                          3                               
TG_INSPECTION_RESULT                           15                               
TG_INSTALLED_PARTS                             33                               
